n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
437	160	277	0.36613272311212813	0.9203519855595668	0.8334050487397188	0.7371769180478596	MDS	drug_cold	9	Medium	6	0.5162027345170135	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
722	101	621	0.13988919667590027	0.7049473063248355	0.31137709652452383	0.19937884652287635	MDS	drug_cold	9	Low	12	0.23352814263793015	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
917	606	311	0.6608505997818975	0.7364511370751223	0.784000059349576	0.36311271518829946	MDS	drug_cold	10	High	10	0.7943915150089146	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
312	37	275	0.11858974358974358	0.649041769041769	0.36423653968457415	0.2786974559330441	MDS	drug_cold	10	Medium	8	0.5485713743404266	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1055	499	556	0.4729857819905213	0.5785672063551563	0.5674049155897999	0.17915860781877496	MDS	drug_cold	10	Low	18	0.21427577761004382	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
503	411	92	0.8170974155069582	0.7535438485136994	0.9306504063171056	0.6208386345380883	MDS	drug_cold	11	High	3	0.9691247189983586	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
484	124	360	0.256198347107438	0.5162858422939068	0.312884446142355	0.07621131092472175	MDS	drug_cold	11	Medium	10	0.49496036357734385	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1305	611	694	0.4681992337164751	0.6163798185994519	0.6176379765687132	0.28100512885039014	MDS	drug_cold	11	Low	21	0.23407025971823958	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
434	354	80	0.815668202764977	0.8330155367231639	0.9452078837865571	0.7027527695420721	MDS	drug_cold	12	High	2	0.7646777185947693	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
350	30	320	0.08571428571428572	0.6794791666666666	0.18433861718968336	0.10787036255121618	MDS	drug_cold	12	Medium	6	0.5548079539508112	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1348	682	666	0.5059347181008902	0.6806755435787695	0.6030912385343508	0.19664713144790516	MDS	drug_cold	12	Low	14	0.21200702191579604	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
615	442	173	0.71869918699187	0.6494781994611984	0.8135597716674181	0.33722115361538796	MDS	drug_cold	13	High	2	0.9409507068043654	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
201	7	194	0.03482587064676617	0.6855670103092784	0.07766756007237194	0.044387523580137936	MDS	drug_cold	13	Medium	2	0.5926191894545859	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1464	691	773	0.4719945355191257	0.7219620962925659	0.5942658190832929	0.23157200405943187	MDS	drug_cold	13	Low	8	0.15265233578211276	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
350	180	170	0.5142857142857142	0.4402614379084967	0.4397398753736076	-0.15347672717198424	MDS	drug_cold	14	High	6	0.8367250863534049	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
558	328	230	0.5878136200716846	0.8516569459172854	0.8714849942768887	0.6882114208978432	MDS	drug_cold	14	Medium	7	0.540562013756673	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
